,homophily1,Run,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B),Avg pct similar neighbors (B) (count empty),Avg pct similar neighbors (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct Happy,Pct Happy Group A,Pct Happy Group B,height,width,num_agents,minority_pc,homophily0
0,0.125,0,53.7,59.6,52.5,45.6,39.3,46.9,350,200,150,100.0,100.0,100.0,20,20,350,0.4,0.25
1,0.125,1,49.7,58.7,51.3,35.9,31.6,43.6,350,213,137,100.0,100.0,100.0,20,20,350,0.4,0.25
2,0.125,2,52.0,58.5,50.5,43.0,37.8,45.2,350,204,146,100.0,100.0,100.0,20,20,350,0.4,0.25
3,0.125,3,53.0,60.9,53.8,41.1,35.6,46.5,350,209,141,100.0,100.0,100.0,20,20,350,0.4,0.25
4,0.125,4,51.7,59.2,52.0,40.8,35.9,45.5,350,208,142,100.0,100.0,100.0,20,20,350,0.4,0.25
5,0.125,5,52.1,58.4,51.0,43.5,38.4,45.7,350,203,147,100.0,100.0,100.0,20,20,350,0.4,0.25
6,0.125,6,52.3,59.8,52.2,41.5,36.9,46.0,350,209,141,100.0,100.0,100.0,20,20,350,0.4,0.25
7,0.125,7,53.9,59.0,52.4,47.4,41.3,47.5,350,195,155,100.0,100.0,100.0,20,20,350,0.4,0.25
8,0.125,8,53.5,59.0,51.6,46.4,40.9,47.0,350,199,151,100.0,100.0,100.0,20,20,350,0.4,0.25
9,0.125,9,52.8,58.5,51.4,45.2,39.7,46.4,350,199,151,100.0,100.0,100.0,20,20,350,0.4,0.25
10,0.25,10,57.9,64.4,54.7,48.4,45.3,51.0,350,215,135,100.0,100.0,100.0,20,20,350,0.4,0.25
11,0.25,11,57.5,63.7,54.0,48.7,45.8,50.8,350,214,136,100.0,100.0,100.0,20,20,350,0.4,0.25
12,0.25,12,57.3,62.6,54.5,50.3,45.1,50.5,350,202,148,100.0,100.0,100.0,20,20,350,0.4,0.25
13,0.25,13,54.7,61.5,53.8,45.3,39.8,47.9,350,203,147,100.0,100.0,100.0,20,20,350,0.4,0.25
14,0.25,14,62.3,68.3,58.0,53.6,50.5,55.1,350,216,134,100.0,100.0,100.0,20,20,350,0.4,0.25
15,0.25,15,58.3,63.0,54.1,52.1,46.9,51.0,350,201,149,100.0,100.0,100.0,20,20,350,0.4,0.25
16,0.25,16,53.8,58.5,50.0,47.9,44.0,47.4,350,201,149,100.0,100.0,100.0,20,20,350,0.4,0.25
17,0.25,17,56.4,63.3,54.1,46.4,42.9,49.8,350,214,136,100.0,100.0,100.0,20,20,350,0.4,0.25
18,0.25,18,58.2,64.8,55.0,48.6,45.7,51.4,350,216,134,100.0,100.0,100.0,20,20,350,0.4,0.25
