,Pct Happy,Pct Happy Group A,Pct Happy Group B,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (B)
0,0.0,0.0,0.0,0.0,0.0,0.0
1,84.6,103.9,7.3,57.7,68.9,12.6
2,85.8,103.9,13.5,57.8,68.9,13.4
3,86.9,103.9,18.7,58.3,68.9,15.8
4,86.9,103.9,18.7,58.4,68.9,16.1
5,85.2,103.9,10.4,57.8,68.9,13.4
6,85.4,103.9,11.5,57.7,68.9,12.5
7,86.0,103.9,14.6,58.0,68.9,14.3
8,86.7,103.9,17.7,58.4,68.9,16.0
9,86.9,103.9,18.7,58.2,68.9,15.1
10,87.1,103.9,19.8,58.4,68.9,16.3
11,86.7,103.9,17.7,58.3,68.9,15.5
12,87.9,103.9,24.0,58.5,68.9,16.8
13,88.1,103.9,25.0,58.7,68.9,17.8
14,86.9,103.9,18.7,58.3,68.9,15.8
15,87.5,103.9,21.9,58.2,68.9,15.4
16,87.7,103.9,22.9,58.5,68.9,16.9
17,89.0,103.9,29.2,59.1,68.9,19.9
18,89.8,103.9,33.3,59.0,68.9,19.3
19,89.2,103.9,30.2,59.3,68.9,20.7
20,88.5,103.9,27.1,58.6,68.9,17.4
21,89.6,103.9,32.3,59.1,68.9,19.5
22,90.8,103.9,38.5,59.6,68.9,22.0
23,90.4,103.9,36.5,59.7,68.9,22.8
24,90.4,103.9,36.5,59.5,68.9,21.6
25,88.3,103.9,26.0,59.1,68.9,19.5
26,88.1,103.9,25.0,58.4,68.9,16.1
27,88.3,103.9,26.0,58.7,68.9,17.6
28,89.6,103.9,32.3,59.2,68.9,20.4
29,89.8,103.9,33.3,59.3,68.9,20.8
30,89.2,103.9,30.2,59.2,68.9,20.1
31,89.2,103.9,30.2,59.2,68.9,20.4
32,88.8,103.9,28.1,58.9,68.9,18.7
33,89.6,103.9,32.3,59.1,68.9,19.9
34,89.4,103.9,31.2,59.2,68.9,20.4
35,89.6,103.9,32.3,59.1,68.9,19.5
36,88.3,103.9,26.0,59.1,68.9,19.9
37,88.1,103.9,25.0,58.8,68.9,18.4
38,88.8,103.9,28.1,58.6,68.9,17.3
39,88.3,103.9,26.0,58.7,68.9,17.6
40,87.5,103.9,21.9,58.6,68.9,17.1
41,87.5,103.9,21.9,58.2,68.9,15.0
42,87.5,103.9,21.9,58.3,68.9,15.6
43,88.5,103.9,27.1,58.9,68.9,18.5
44,88.3,103.9,26.0,58.9,68.9,18.7
45,88.1,103.9,25.0,58.7,68.9,17.8
46,88.8,103.9,28.1,58.8,68.9,18.0
47,89.4,103.9,31.2,59.1,68.9,19.8
48,89.0,103.9,29.2,59.1,68.9,19.7
49,89.2,103.9,30.2,59.0,68.9,19.4
50,89.4,103.9,31.2,59.0,68.9,19.4
51,89.0,103.9,29.2,59.0,68.9,19.3
52,88.1,103.9,25.0,58.8,68.9,18.0
53,89.4,103.9,31.2,59.2,68.9,20.2
54,89.4,103.9,31.2,59.3,68.9,20.8
55,89.0,103.9,29.2,58.9,68.9,18.9
56,89.8,103.9,33.3,58.8,68.9,18.2
57,89.6,103.9,32.3,59.1,68.9,19.9
58,89.0,103.9,29.2,59.0,68.9,19.3
59,89.4,103.9,31.2,59.0,68.9,19.4
60,89.2,103.9,30.2,59.1,68.9,19.7
61,88.3,103.9,26.0,58.9,68.9,18.9
62,88.3,103.9,26.0,58.8,68.9,18.4
63,87.5,103.9,21.9,58.5,68.9,16.5
64,87.3,103.9,20.8,58.5,68.9,16.7
65,87.3,103.9,20.8,58.3,68.9,15.9
66,88.8,103.9,28.1,59.2,68.9,20.1
67,89.0,103.9,29.2,58.9,68.9,18.6
68,88.3,103.9,26.0,58.6,68.9,17.3
69,88.3,103.9,26.0,58.7,68.9,17.8
70,89.2,103.9,30.2,58.9,68.9,18.7
71,88.3,103.9,26.0,58.8,68.9,18.1
72,88.1,103.9,25.0,58.7,68.9,17.8
73,88.1,103.9,25.0,58.6,68.9,17.3
74,89.6,103.9,32.3,59.0,68.9,19.1
75,89.8,103.9,33.3,59.1,68.9,19.8
76,90.0,103.9,34.4,59.3,68.9,20.6
77,90.2,103.9,35.4,59.5,68.9,21.6
78,89.2,103.9,30.2,59.7,68.9,22.5
79,88.3,103.9,26.0,58.9,68.9,18.7
80,88.8,103.9,28.1,58.6,68.9,17.4
81,89.4,103.9,31.2,59.1,68.9,19.5
82,89.4,103.9,31.2,59.1,68.9,19.5
83,89.8,103.9,33.3,59.1,68.9,19.8
84,90.8,103.9,38.5,59.6,68.9,22.1
85,89.6,103.9,32.3,59.2,68.9,20.4
86,89.6,103.9,32.3,59.2,68.9,20.3
87,89.4,103.9,31.2,58.8,68.9,18.4
88,87.9,103.9,24.0,58.7,68.9,17.6
89,87.9,103.9,24.0,58.8,68.9,18.2
90,88.3,103.9,26.0,58.9,68.9,18.5
91,89.8,103.9,33.3,59.4,68.9,21.1
92,89.0,103.9,29.2,59.0,68.9,19.4
93,88.5,103.9,27.1,58.9,68.9,18.6
94,87.7,103.9,22.9,58.7,68.9,17.8
95,87.5,103.9,21.9,58.5,68.9,16.7
96,87.7,103.9,22.9,58.4,68.9,16.0
97,87.1,103.9,19.8,58.3,68.9,15.6
98,88.1,103.9,25.0,58.6,68.9,17.3
99,88.1,103.9,25.0,58.4,68.9,16.3
100,88.8,103.9,28.1,58.8,68.9,18.4
101,88.1,103.9,25.0,58.8,68.9,18.1
102,88.8,103.9,28.1,58.8,68.9,18.0
103,88.3,103.9,26.0,59.0,68.9,19.1
104,89.2,103.9,30.2,59.1,68.9,19.9
105,89.2,103.9,30.2,59.2,68.9,20.4
106,88.8,103.9,28.1,58.9,68.9,18.6
107,88.8,103.9,28.1,59.1,68.9,19.7
108,88.5,103.9,27.1,58.6,68.9,17.4
109,88.8,103.9,28.1,58.8,68.9,18.2
110,88.8,103.9,28.1,58.9,68.9,18.9
111,90.2,103.9,35.4,59.3,68.9,20.6
112,89.6,103.9,32.3,59.2,68.9,20.4
113,89.6,103.9,32.3,59.3,68.9,20.6
114,89.6,103.9,32.3,59.1,68.9,19.5
115,89.0,103.9,29.2,59.0,68.9,19.3
116,88.5,103.9,27.1,59.0,68.9,19.0
117,88.1,103.9,25.0,58.6,68.9,17.1
118,88.5,103.9,27.1,58.6,68.9,17.1
119,88.8,103.9,28.1,58.8,68.9,18.2
120,88.8,103.9,28.1,58.9,68.9,18.9
121,89.8,103.9,33.3,58.9,68.9,18.6
122,89.6,103.9,32.3,59.1,68.9,19.8
123,89.0,103.9,29.2,59.1,68.9,19.8
124,88.1,103.9,25.0,58.8,68.9,18.1
125,88.1,103.9,25.0,58.6,68.9,17.4
126,88.5,103.9,27.1,58.9,68.9,18.9
127,89.2,103.9,30.2,59.0,68.9,19.1
128,88.3,103.9,26.0,58.7,68.9,17.8
129,88.1,103.9,25.0,58.7,68.9,17.8
130,88.1,103.9,25.0,58.8,68.9,18.2
131,87.9,103.9,24.0,58.8,68.9,18.2
132,88.1,103.9,25.0,58.9,68.9,18.9
133,88.3,103.9,26.0,58.8,68.9,18.1
134,89.0,103.9,29.2,58.8,68.9,18.0
135,89.8,103.9,33.3,59.3,68.9,20.7
136,89.4,103.9,31.2,59.3,68.9,20.7
137,88.3,103.9,26.0,58.9,68.9,18.6
138,87.9,103.9,24.0,58.9,68.9,18.7
139,87.7,103.9,22.9,58.5,68.9,16.5
140,89.0,103.9,29.2,59.1,68.9,19.9
141,90.0,103.9,34.4,59.5,68.9,21.6
142,89.2,103.9,30.2,59.2,68.9,20.1
143,88.8,103.9,28.1,59.1,68.9,19.9
144,90.0,103.9,34.4,59.2,68.9,20.1
145,89.4,103.9,31.2,59.1,68.9,19.5
146,88.5,103.9,27.1,58.8,68.9,18.0
147,88.8,103.9,28.1,59.0,68.9,19.0
148,89.0,103.9,29.2,59.3,68.9,20.6
149,89.4,103.9,31.2,59.3,68.9,20.6
150,89.6,103.9,32.3,59.1,68.9,19.9
151,88.5,103.9,27.1,58.9,68.9,18.6
152,89.2,103.9,30.2,58.8,68.9,18.0
153,89.0,103.9,29.2,59.1,68.9,19.9
154,89.2,103.9,30.2,58.9,68.9,18.6
155,88.8,103.9,28.1,59.0,68.9,19.3
156,88.1,103.9,25.0,58.8,68.9,18.1
157,88.5,103.9,27.1,58.9,68.9,18.6
158,89.0,103.9,29.2,59.1,68.9,19.5
159,89.4,103.9,31.2,59.0,68.9,19.4
160,89.0,103.9,29.2,58.8,68.9,18.2
161,88.1,103.9,25.0,58.7,68.9,17.6
162,89.0,103.9,29.2,58.8,68.9,18.1
163,88.3,103.9,26.0,58.9,68.9,18.5
164,88.3,103.9,26.0,58.8,68.9,18.2
165,88.8,103.9,28.1,58.7,68.9,17.7
166,87.9,103.9,24.0,58.6,68.9,17.3
167,88.8,103.9,28.1,58.9,68.9,18.7
168,87.9,103.9,24.0,58.5,68.9,16.9
169,87.7,103.9,22.9,58.6,68.9,17.2
170,88.1,103.9,25.0,58.6,68.9,17.4
171,89.0,103.9,29.2,58.7,68.9,17.7
172,88.3,103.9,26.0,58.8,68.9,18.0
173,87.9,103.9,24.0,58.5,68.9,16.5
174,87.9,103.9,24.0,58.7,68.9,17.8
175,88.1,103.9,25.0,58.8,68.9,18.4
176,87.5,103.9,21.9,58.6,68.9,17.2
177,87.7,103.9,22.9,58.6,68.9,17.1
178,87.5,103.9,21.9,58.5,68.9,16.8
179,87.9,103.9,24.0,58.6,68.9,17.4
180,89.2,103.9,30.2,59.0,68.9,19.3
181,87.9,103.9,24.0,58.8,68.9,18.0
182,88.1,103.9,25.0,58.6,68.9,17.3
183,87.7,103.9,22.9,58.3,68.9,15.8
184,88.5,103.9,27.1,58.7,68.9,17.6
185,89.8,103.9,33.3,59.2,68.9,20.1
186,89.4,103.9,31.2,59.1,68.9,19.7
187,89.0,103.9,29.2,59.0,68.9,19.4
188,89.0,103.9,29.2,59.1,68.9,19.9
189,89.4,103.9,31.2,59.0,68.9,19.4
190,88.8,103.9,28.1,59.0,68.9,19.4
191,87.3,103.9,20.8,58.6,68.9,17.1
192,87.7,103.9,22.9,58.4,68.9,16.1
193,88.1,103.9,25.0,58.7,68.9,17.7
